411,1645,6581,26325,105301,421205,1684821,6739285,26957141,107828565
825,3301,13205,52821,211285,845141,3380565,13522261,54089045,216356181
415,1661,6645,26581,106325,425301,1701205,6804821,27219285,108877141
833,3333,13333,53333,213333,853333,3413333,13653333,54613333,218453333
419,1677,6709,26837,107349,429397,1717589,6870357,27481429,109925717
841,3365,13461,53845,215381,861525,3446101,13784405,55137621,220550485
423,1693,6773,27093,108373,433493,1733973,6935893,27743573,110974293
849,3397,13589,54357,217429,869717,3478869,13915477,55661909,222647637
427,1709,6837,27349,109397,437589,1750357,7001429,28005717,112022869
857,3429,13717,54869,219477,877909,3511637,14046549,56186197,224744789
431,1725,6901,27605,110421,441685,1766741,7066965,28267861,113071445
865,3461,13845,55381,221525,886101,3544405,14177621,56710485,226841941
435,1741,6965,27861,111445,445781,1783125,7132501,28530005,114120021
873,3493,13973,55893,223573,894293,3577173,14308693,57234773,228939093
439,1757,7029,28117,112469,449877,1799509,7198037,28792149,115168597
881,3525,14101,56405,225621,902485,3609941,14439765,57759061,231036245
443,1773,7093,28373,113493,453973,1815893,7263573,29054293,116217173
889,3557,14229,56917,227669,910677,3642709,14570837,58283349,233133397
447,1789,7157,28629,114517,458069,1832277,7329109,29316437,117265749
897,3589,14357,57429,229717,918869,3675477,14701909,58807637,235230549
451,1805,7221,28885,115541,462165,1848661,7394645,29578581,118314325
905,3621,14485,57941,231765,927061,3708245,14832981,59331925,237327701
455,1821,7285,29141,116565,466261,1865045,7460181,29840725,119362901
913,3653,14613,58453,233813,935253,3741013,14964053,59856213,239424853
459,1837,7349,29397,117589,470357,1881429,7525717,30102869,120411477
921,3685,14741,58965,235861,943445,3773781,15095125,60380501,241522005
463,1853,7413,29653,118613,474453,1897813,7591253,30365013,121460053
929,3717,14869,59477,237909,951637,3806549,15226197,60904789,243619157
467,1869,7477,29909,119637,478549,1914197,7656789,30627157,122508629
937,3749,14997,59989,239957,959829,3839317,15357269,61429077,245716309
471,1885,7541,30165,120661,482645,1930581,7722325,30889301,123557205
945,3781,15125,60501,242005,968021,3872085,15488341,61953365,247813461
475,1901,7605,30421,121685,486741,1946965,7787861,31151445,124605781
953,3813,15253,61013,244053,976213,3904853,15619413,62477653,249910613
479,1917,7669,30677,122709,490837,1963349,7853397,31413589,125654357
961,3845,15381,61525,246101,984405,3937621,15750485,63001941,252007765
483,1933,7733,30933,123733,494933,1979733,7918933,31675733,126702933
969,3877,15509,62037,248149,992597,3970389,15881557,63526229,254104917
487,1949,7797,31189,124757,499029,1996117,7984469,31937877,127751509
977,3909,15637,62549,250197,1000789,4003157,16012629,64050517,256202069
491,1965,7861,31445,125781,503125,2012501,8050005,32200021,128800085
985,3941,15765,63061,252245,1008981,4035925,16143701,64574805,258299221
495,1981,7925,31701,126805,507221,2028885,8115541,32462165,129848661
993,3973,15893,63573,254293,1017173,4068693,16274773,65099093,260396373
499,1997,7989,31957,127829,511317,2045269,8181077,32724309,130897237
1001,4005,16021,64085,256341,1025365,4101461,16405845,65623381,262493525
503,2013,8053,32213,128853,515413,2061653,8246613,32986453,131945813
1009,4037,16149,64597,258389,1033557,4134229,16536917,66147669,264590677
507,2029,8117,32469,129877,519509,2078037,8312149,33248597,132994389
1017,4069,16277,65109,260437,1041749,4166997,16667989,66671957,266687829
511,2045,8181,32725,130901,523605,2094421,8377685,33510741,134042965
1025,4101,16405,65621,262485,1049941,4199765,16799061,67196245,268784981
515,2061,8245,32981,131925,527701,2110805,8443221,33772885,135091541
1033,4133,16533,66133,264533,1058133,4232533,16930133,67720533,270882133
